Time (Milliseconds),Input (18 C),Temp C
364672,16.41,-7.03
364723,16.41,-6.54
364774,16.41,-6.54
364825,16.41,-6.54
364876,16.41,-7.03
364928,16.41,-6.05
364979,16.41,-7.03
365030,16.41,-7.03
365081,16.41,-7.03
365132,16.41,-6.54
365182,16.41,-6.54
365234,16.41,-7.03
365285,16.41,-7.52
365336,16.41,-7.03
365387,16.41,-7.03
365438,16.41,-8.01
365490,16.41,-6.05
365541,16.41,-7.03
365592,16.41,-7.52
365643,16.41,-7.03
365694,16.41,-7.03
365745,16.41,-6.54
365796,16.41,-7.03
365847,16.41,-7.03
365898,16.41,-7.52
365949,16.41,-7.52
366001,16.41,-6.54
366052,16.41,-7.03
366103,16.41,-7.03
366154,16.41,-7.03
366205,16.41,-6.05
366256,16.41,-7.03
366307,16.41,-7.03
366358,16.41,-7.52
366409,16.41,-7.03
366460,16.41,-6.54
366512,16.41,-6.54
366563,16.41,-7.03
366614,16.41,-7.03
366665,16.41,-6.05
366716,16.41,-6.54
366768,16.41,-7.03
366818,16.41,-7.03
366869,16.41,-7.03
366920,16.41,-7.52
366971,16.41,-6.05
367023,16.41,-6.54
367074,16.41,-6.54
367125,16.41,-6.54
367176,16.41,-6.54
367227,16.41,-6.54
367279,16.41,-8.01
367330,16.41,-6.54
367380,16.41,-7.03
367431,16.41,-7.03
367482,16.41,-6.54
367534,16.41,-7.03
367585,16.41,-7.03
367636,16.41,-7.03
367687,16.41,-6.05
367738,16.41,-6.54
367790,16.41,-7.03
367841,16.41,-7.03
367891,16.41,-6.05
367942,16.41,-6.05
367993,16.41,-6.05
368045,16.41,-6.54
368096,16.41,-6.54
368147,16.41,-6.54
368198,16.41,-6.54
368249,16.41,-6.54
368301,16.41,-6.54
368352,16.41,-6.05
368403,16.41,-6.54
368453,16.41,-6.54
368504,16.41,-6.54
368556,16.41,-6.54
368607,16.41,-6.54
368658,16.41,-6.54
368709,16.41,-6.54
368760,16.41,-6.54
368812,16.41,-6.54
368863,16.41,-7.03
368914,16.41,-6.54
368965,16.41,-6.05
369015,16.41,-6.05
369067,16.41,-6.05
369118,16.41,-6.54
369169,16.41,-6.05
369220,16.41,-6.05
369271,16.41,-6.54
369323,16.41,-6.54
369374,16.41,-6.05
369425,16.41,-6.54
369476,16.41,-6.05
369526,16.41,-7.03
369577,16.41,-7.03
369629,16.41,-7.03
369680,16.41,-6.05
369731,16.41,-5.57
369782,16.41,-6.54
369833,16.41,-6.05
369885,16.41,-7.03
369936,16.41,-6.05
369987,16.41,-6.54
370037,16.41,-6.54
370088,16.41,-6.05
370140,16.41,-6.54
370191,16.41,-6.54
370242,16.41,-6.54
370293,16.41,-6.54
370344,16.41,-6.54
370396,16.41,-6.05
370447,16.41,-6.05
370498,16.41,-6.05
370549,16.41,-6.54
370599,16.41,-7.03
370651,16.41,-6.05
370702,16.41,-6.54
370753,16.41,-6.54
370804,16.41,-6.05
370855,16.41,-6.05
370907,16.41,-6.05
370958,16.41,-6.54
371009,16.41,-6.05
371060,16.41,-6.05
371110,16.41,-6.54
371162,16.41,-6.54
371213,16.41,-6.05
371264,16.41,-6.54
371315,16.41,-6.54
371366,16.41,-6.05
371418,16.41,-6.05
371469,16.41,-7.03
371520,16.41,-6.54
371571,16.41,-6.05
371622,16.41,-5.57
371673,16.41,-5.57
371724,16.41,-6.54
371775,16.41,-6.54
371826,16.41,-7.03
371877,16.41,-6.05
371929,16.41,-6.05
371980,16.41,-6.05
372031,16.41,-6.05
372082,16.41,-7.03
372133,16.41,-6.05
372184,16.41,-6.05
372235,16.41,-6.05
372286,16.41,-6.05
372337,16.41,-6.54
372388,16.41,-5.57
372440,16.41,-6.05
372491,16.41,-6.54
372542,16.41,-6.54
372593,16.41,-6.05
372644,16.41,-6.54
372696,16.41,-6.54
372746,16.41,-6.05
372797,16.41,-5.57
372848,16.41,-6.05
372899,16.41,-6.54
372951,16.41,-7.03
373002,16.41,-5.57
373053,16.41,-6.54
373104,16.41,-6.54
373155,16.41,-6.05
373207,16.41,-6.05
373257,16.41,-5.57
373308,16.41,-6.05
373359,16.41,-6.54
373410,16.41,-6.54
373462,16.41,-6.54
373513,16.41,-6.05
373564,16.41,-6.05
373615,16.41,-6.05
373666,16.41,-6.54
373718,16.41,-5.57
373768,16.41,-5.08
373819,16.41,-6.54
373870,16.41,-6.54
373921,16.41,-6.05
373972,16.41,-6.05
374024,16.41,-6.05
374075,16.41,-6.54
374126,16.41,-5.57
374177,16.41,-5.57
374228,16.41,-6.05
374280,16.41,-7.03
374330,16.41,-6.05
374381,16.41,-6.54
374432,16.41,-6.05
374483,16.41,-6.05
374535,16.41,-6.05
374586,16.41,-6.05
374637,16.41,-6.54
374688,16.41,-5.57
374739,16.41,-6.54
374791,16.41,-6.05
374842,16.41,-6.54
374892,16.41,-6.05
374943,16.41,-6.54
374994,16.41,-6.05
375046,16.41,-6.05
375097,16.41,-6.05
375148,16.41,-6.54
375199,16.41,-6.54
375250,16.41,-6.54
375302,16.41,-6.05
375353,16.41,-5.57
375403,16.41,-6.54
375454,16.41,-6.54
375505,16.41,-6.05
375557,16.41,-6.05
375608,16.41,-5.57
375659,16.41,-7.03
375710,16.41,-6.05
375761,16.41,-6.54
375813,16.41,-5.57
375864,16.41,-6.54
375915,16.41,-5.57
375965,16.41,-5.57
376016,16.41,-5.57
376068,16.41,-5.57
376119,16.41,-6.54
376170,16.41,-5.57
376221,16.41,-6.05
376272,16.41,-6.05
376324,16.41,-5.57
376375,16.41,-5.57
376426,16.41,-6.05
376477,16.41,-7.03
376527,16.41,-6.05
376579,16.41,-5.57
376630,16.41,-6.05
376681,16.41,-5.57
376732,16.41,-6.54
376783,16.41,-6.54
376835,16.41,-5.57
376886,16.41,-5.57
376937,16.41,-6.05
376988,16.41,-5.57
377038,16.41,-5.57
377090,16.41,-5.08
377141,16.41,-6.05
377192,16.41,-6.54
377243,16.41,-5.08
377294,16.41,-5.57
377346,16.41,-5.57
377397,16.41,-6.54
377448,16.41,-5.57
377499,16.41,-7.03
377550,16.41,-5.08
377601,16.41,-6.05
377652,16.41,-5.57
377703,16.41,-7.03
377754,16.41,-5.57
377805,16.41,-5.57
377857,16.41,-6.54
377908,16.41,-5.57
377959,16.41,-6.05
378010,16.41,-6.05
378061,16.41,-5.57
378112,16.41,-5.57
378163,16.41,-5.57
378214,16.41,-6.05
378265,16.41,-5.57
378316,16.41,-6.05
378368,16.41,-5.08
378419,16.41,-6.05
378470,16.41,-5.57
378521,16.41,-5.08
378572,16.41,-4.59
378624,16.41,-4.59
378674,16.41,-4.1
378725,16.41,-4.59
378776,16.41,-4.1
378827,16.41,-3.61
378878,16.41,-3.61
378930,16.41,-4.1
378981,16.41,-3.61
379032,16.41,-3.12
379083,16.41,-3.12
379134,16.41,-3.61
379186,16.41,-3.61
379236,16.41,-3.61
379287,16.41,-4.1
379338,16.41,-3.61
379389,16.41,-3.61
379441,16.41,-3.61
379492,16.41,-3.61
379543,16.41,-3.61
379594,16.41,-3.61
379645,16.41,-3.61
379697,16.41,-3.61
379747,16.41,-3.61
379798,16.41,-4.1
379849,16.41,-4.59
379900,16.41,-3.61
379952,16.41,-3.61
380003,16.41,-3.61
380054,16.41,-3.61
380105,16.41,-3.61
380156,16.41,-3.61
380208,16.41,-4.59
380259,16.41,-3.61
380309,16.41,-3.61
380360,16.41,-3.61
380411,16.41,-3.61
380463,16.41,-3.61
380514,16.41,-3.12
380565,16.41,-3.61
380616,16.41,-3.61
380667,16.41,-3.12
380719,16.41,-3.61
380770,16.41,-4.59
380821,16.41,-3.12
380871,16.41,-4.1
380922,16.41,-3.61
380974,16.41,-3.61
381025,16.41,-3.12
381076,16.41,-3.61
381127,16.41,-3.61
381178,16.41,-3.61
381230,16.41,-4.1
381281,16.41,-3.61
381332,16.41,-3.61
381383,16.41,-3.61
381433,16.41,-3.12
381485,16.41,-3.12
381536,16.41,-3.61
381587,16.41,-3.61
381638,16.41,-3.12
381689,16.41,-3.12
381741,16.41,-3.61
381792,16.41,-3.61
381843,16.41,-3.61
381894,16.41,-4.1
381945,16.41,-3.61
381996,16.41,-3.61
382047,16.41,-3.12
382098,16.41,-3.61
382149,16.41,-3.12
382200,16.41,-3.61
382252,16.41,-4.1
382303,16.41,-3.12
382354,16.41,-3.61
382405,16.41,-3.61
382456,16.41,-3.12
382508,16.41,-3.12
382558,16.41,-3.12
382609,16.41,-3.12
382660,16.41,-3.12
382711,16.41,-3.12
382763,16.41,-3.12
382814,16.41,-3.12
382865,16.41,-3.61
382916,16.41,-3.12
382967,16.41,-3.61
