Time (milliseconds),Input (-12 C),Temp (C)
16289,-12,12.5
16340,-12,12.99
16392,-12,12.99
16443,-12,12.5
16494,-12,12.5
16545,-12,12.01
16596,-12,12.99
16648,-12,12.99
16699,-12,12.01
16749,-12,12.01
16800,-12,12.5
16851,-12,12.99
16903,-12,12.5
16954,-12,12.99
17005,-12,12.5
17056,-12,12.5
17107,-12,12.5
17159,-12,12.5
17210,-12,12.01
17260,-12,12.01
17311,-12,12.01
17362,-12,12.01
17414,-12,12.01
17465,-12,12.01
17516,-12,12.01
17567,-12,12.5
17618,-12,12.5
17670,-12,12.5
17721,-12,12.01
17771,-12,12.5
17822,-12,12.5
17873,-12,12.01
17925,-12,12.01
17976,-12,12.01
18027,-12,12.01
18078,-12,11.52
18129,-12,12.01
18181,-12,11.52
18232,-12,12.01
18282,-12,12.01
18333,-12,12.01
18384,-12,12.01
18436,-12,11.52
18487,-12,12.01
18538,-12,11.52
18589,-12,11.52
18640,-12,11.52
18692,-12,11.52
18743,-12,11.04
18793,-12,11.52
18844,-12,11.52
18895,-12,11.52
18947,-12,11.52
18998,-12,12.01
19049,-12,11.52
19100,-12,11.52
19151,-12,11.04
19203,-12,11.52
19254,-12,11.52
19304,-12,11.52
19355,-12,12.01
19406,-12,11.52
19458,-12,11.04
19509,-12,12.01
19560,-12,11.52
19611,-12,11.04
19662,-12,11.52
19714,-12,11.52
19765,-12,11.04
19815,-12,12.01
19866,-12,11.52
19917,-12,10.55
19969,-12,11.52
20020,-12,11.52
20071,-12,11.52
20122,-12,11.04
20173,-12,11.04
20225,-12,11.52
20276,-12,11.04
20327,-12,11.52
20377,-12,11.52
20428,-12,11.04
20480,-12,11.52
20531,-12,11.04
20582,-12,12.01
20633,-12,11.04
20684,-12,12.01
20736,-12,11.52
20787,-12,11.52
20838,-12,11.52
20888,-12,11.52
20939,-12,11.04
20990,-12,11.04
21042,-12,11.52
21093,-12,11.52
21144,-12,11.04
21195,-12,11.04
21246,-12,10.55
21298,-12,11.04
21349,-12,10.55
21399,-12,10.55
21450,-12,11.04
21501,-12,10.55
21553,-12,11.52
21604,-12,10.55
21655,-12,11.04
21706,-12,11.04
21757,-12,11.04
21809,-12,11.04
21860,-12,11.04
21910,-12,11.04
21961,-12,11.04
22012,-12,10.55
22064,-12,11.04
22115,-12,11.04
22166,-12,10.55
22217,-12,11.04
22268,-12,11.04
22320,-12,11.04
22371,-12,11.04
22421,-12,10.55
22472,-12,10.55
22523,-12,10.55
22575,-12,10.55
22626,-12,10.55
22677,-12,10.55
22728,-12,10.55
22779,-12,11.04
22831,-12,10.55
22882,-12,10.55
22932,-12,10.55
22983,-12,10.55
23034,-12,11.04
23086,-12,10.55
23137,-12,10.55
23188,-12,10.55
23239,-12,10.55
23290,-12,10.55
23342,-12,10.55
23393,-12,10.55
23444,-12,10.06
23494,-12,10.06
23545,-12,10.55
23597,-12,11.04
23648,-12,10.55
23699,-12,10.55
23750,-12,10.06
23801,-12,10.06
23853,-12,10.55
23904,-12,10.55
23955,-12,10.06
24005,-12,10.55
24056,-12,10.06
24108,-12,10.55
24159,-12,10.06
24210,-12,10.55
24261,-12,10.55
24312,-12,10.55
24364,-12,10.55
24415,-12,10.06
24465,-12,10.06
24516,-12,10.55
24567,-12,9.57
24619,-12,10.55
24670,-12,10.55
24721,-12,10.55
24772,-12,10.06
24823,-12,10.06
24875,-12,10.55
24926,-12,10.55
24976,-12,10.55
25027,-12,10.06
25078,-12,10.55
25129,-12,10.06
25181,-12,10.06
25232,-12,10.06
25283,-12,10.55
25334,-12,10.55
25385,-12,10.55
25437,-12,10.55
25487,-12,10.55
25538,-12,10.55
25589,-12,10.55
25640,-12,10.06
25692,-12,10.06
25743,-12,9.57
25794,-12,10.06
25845,-12,10.55
25896,-12,10.06
25947,-12,10.06
25998,-12,10.06
26049,-12,10.55
26100,-12,10.06
26151,-12,10.06
26203,-12,10.55
26254,-12,10.06
26305,-12,10.06
26356,-12,10.06
26407,-12,10.06
26458,-12,10.06
26509,-12,10.55
26560,-12,10.06
26611,-12,10.06
26662,-12,10.55
26714,-12,10.06
26765,-12,10.06
26816,-12,10.06
26867,-12,10.06
26917,-12,10.06
26969,-12,10.06
27020,-12,10.06
27071,-12,9.08
27122,-12,10.06
27173,-12,9.57
27225,-12,10.06
27276,-12,9.57
27326,-12,10.06
27377,-12,9.57
27428,-12,10.55
27480,-12,9.08
27531,-12,10.06
27582,-12,9.57
27633,-12,9.57
27684,-12,10.55
27735,-12,9.57
27786,-12,10.06
27837,-12,10.06
